NUM_COLUMNA,COLUMNA,FILAS,VACIOS,REVISAR_GENERICO,REVISIONES_ESPECIFICAS,CONFLICTOS,VALORES_UNICOS,EJEMPLOS,ESTADO,SECCION,FILA_EXCEL_APROX,CODIGO_UNICO,VALOR,TIPO,VALOR_ACTUAL,VALOR_ESPERADO,STATUS
1.0,CODIGO_UNICO,71.0,0.0,0.0,0.0,0.0,71.0,I162S2C101J4V1 | I162S2C102J4V1 | I162S2C103J4V1 | I162S2C104J4V1 | I162S2C105J4V1 | I162S2C10J1V1 | I162S2C10J4V1 | I162S2C111J4V1,OK,AUDITORIA_COLUMNAS,,,,,,,
2.0,CODIGO_IES_NUM,71.0,0.0,0.0,0.0,0.0,1.0,162,OK,AUDITORIA_COLUMNAS,,,,,,,
3.0,COD_SEDE,71.0,0.0,0.0,0.0,0.0,2.0,2 | 3,OK,AUDITORIA_COLUMNAS,,,,,,,
4.0,COD_CARRERA_DERIVADO,71.0,0.0,0.0,0.0,0.0,51.0,101 | 102 | 103 | 104 | 105 | 10 | 111 | 112,OK,AUDITORIA_COLUMNAS,,,,,,,
5.0,JORNADA,71.0,0.0,0.0,0.0,0.0,4.0,4 | 1 | 2 | 3,OK,AUDITORIA_COLUMNAS,,,,,,,
6.0,VERSION_DERIVADA,71.0,0.0,0.0,0.0,0.0,3.0,1 | 2 | 3,OK,AUDITORIA_COLUMNAS,,,,,,,
7.0,NOMBRE_CARRERA_ORIGINAL,71.0,0.0,0.0,0.0,0.0,51.0,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD | TECNICO EN PREVENCION DE RIESGOS | INGENIERIA EN FINANZAS | INGENIERIA EN MARKETING DIGITAL,OK,AUDITORIA_COLUMNAS,,,,,,,
8.0,NOMBRE_CARRERA_NORMALIZADO,71.0,0.0,0.0,0.0,0.0,51.0,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD | TECNICO EN PREVENCION DE RIESGOS | INGENIERIA EN FINANZAS | INGENIERIA EN MARKETING DIGITAL,OK,AUDITORIA_COLUMNAS,,,,,,,
9.0,MODALIDAD_ORIGINAL,71.0,0.0,0.0,0.0,0.0,3.0,3 | 1 | 2,OK,AUDITORIA_COLUMNAS,,,,,,,
10.0,TIPO_PLAN_CARRERA_ORIGINAL,71.0,0.0,0.0,0.0,0.0,2.0,1 | 3,OK,AUDITORIA_COLUMNAS,,,,,,,
